,days,money,contract_index,money per day,ship,area
60,0.5,13952.860225298198,[24],27905.720450596396,WCB,MOR=>BEN
30,1.0,24746.249297623064,[1],24746.249297623064,LCB,HRT=>MOR
54,0.5,11952.860225298198,[32],23905.720450596396,WCB,BEN=>MOR
31,2.0,46849.76163717427,"[1, 27]",23424.880818587135,LCB,HRT=>MOR
32,2.0,46849.76163717427,"[1, 26]",23424.880818587135,LCB,HRT=>MOR
3,1.0,22603.512339551206,"[21, 25]",22603.512339551206,LCB,MOR
4,1.0,22603.512339551206,"[21, 27]",22603.512339551206,LCB,MOR
5,1.0,22603.512339551206,"[21, 26]",22603.512339551206,LCB,MOR
69,1.0,21604.775232429703,[1],21604.775232429703,WCB,HRT=>ANT
45,2.0,40709.55046485941,"[1, 29]",20354.775232429703,WCB,HRT
48,1.0,19104.775232429703,[29],19104.775232429703,WCB,ANT=>HRT
18,1.0,17328.5400596398,[31],17328.5400596398,LCB,BEN=>MOR
70,1.2857142857142856,22130.887203582184,"[1, 30]",17212.912269452812,WCB,HRT=>ANT
97,0.5,7896.3167543817035,[37],15792.633508763407,STD,ANT=>HRT
33,1.0,15658.572756101305,[2],15658.572756101305,LCB,HRT=>ANT
9,2.0,28817.14551220261,"[2, 28]",14408.572756101305,LCB,HRT
10,3.0,41596.010934797334,"[1, 26]",13865.336978265777,LCB,HRT
11,3.0,41596.010934797334,"[1, 27]",13865.336978265777,LCB,HRT
66,2.5,33349.66184013754,"[1, 29]",13339.864736055015,WCB,HRT=>MOR
63,2.5,33349.66184013754,"[1, 29]",13339.864736055015,WCB,MOR=>HRT
61,1.5,19805.67779210585,"[7, 24]",13203.785194737233,WCB,MOR=>BEN
12,1.0,13158.572756101305,[28],13158.572756101305,LCB,ANT=>HRT
71,1.6666666666666665,21746.684325128204,"[1, 11]",13048.010595076923,WCB,HRT=>ANT
34,1.2857142857142856,16736.208878925456,"[2, 29]",13017.051350275357,LCB,HRT=>ANT
27,3.0,38953.273976725475,"[26, 27]",12984.424658908492,LCB,MOR=>HRT
28,3.0,38953.273976725475,"[25, 26]",12984.424658908492,LCB,MOR=>HRT
29,3.0,38953.273976725475,"[25, 27]",12984.424658908492,LCB,MOR=>HRT
35,2.0,25521.31982861836,"[5, 2]",12760.65991430918,LCB,HRT=>ANT
89,1.0,12492.633508763407,"[37, 6]",12492.633508763407,STD,ANT
94,1.0,12492.633508763407,"[6, 37]",12492.633508763407,STD,HRT
46,2.0,24909.550464859407,"[2, 29]",12454.775232429703,WCB,HRT
49,3.0,37314.32569728911,"[1, 29]",12438.108565763037,WCB,ANT=>HRT
67,2.5,30145.24203726049,"[1, 32]",12058.096814904196,WCB,HRT=>MOR
13,2.0,23021.31982861836,"[28, 5]",11510.65991430918,LCB,ANT=>HRT
14,1.2857142857142856,14236.208878925456,"[29, 28]",11072.606905830911,LCB,ANT=>HRT
98,0.5,5396.3167543817035,[38],10792.633508763407,STD,ANT=>HRT
83,1.0,10530.231732631397,[32],10530.231732631397,VCB,BEN=>MOR
90,1.0,9992.633508763407,"[38, 6]",9992.633508763407,STD,ANT
95,1.0,9992.633508763407,"[6, 38]",9992.633508763407,STD,HRT
82,1.5,14971.260473173304,[29],9980.84031544887,VCB,ANT=>HRT
0,2.5,23938.065938022315,[11],9575.226375208926,LCB,ANT
99,0.7857142857142856,7372.114588167304,"[37, 31]",9382.691294031116,STD,ANT=>HRT
20,2.0,18686.218355808087,[27],9343.109177904043,LCB,BEN=>MOR
19,2.0,18686.218355808087,[25],9343.109177904043,LCB,BEN=>MOR
103,0.5,4651.732443303799,[3],9303.464886607599,STD,BEN=>MOR
